"Citable Reference","Context Description","Title","Description","Start Date","Start Date (num)","End Date","End Date (num)","Covering Dates","Held by","Catalogue level","References","Opening Date","Closure Status","Closure Type","Closure Code","Subjects","Digitised","ID","Score"
"FO 371/8572","Foreign Office: Political Departments: General Correspondence from 1906-1966. Central.","Czechoslovakia. Code 12 Files 56 - 177 (to paper 177)","Czechoslovakia. Code 12 Files 56 - 177 (to paper 177).","01/01/1923","19230101","31/12/1923","19231231","1923","The National Archives, Kew","6","Former Reference Dep: File 56-177 (file paper).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2766237","332.856567"
"FO 395/402","Foreign Office: News Department: General Correspondence from 1906.","General. Code 150 File 6","General. Code 150 File 6.","01/01/1925","19250101","31/12/1925","19251231","1925","The National Archives, Kew","6","Former Reference Dep: File 6.","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10049 International","","C4266583","309.7334"
"FO 371/10065","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Egypt. Code 16 File 4036","Egypt. Code 16 File 4036.","01/01/1924","19240101","31/12/1924","19241231","1924","The National Archives, Kew","6","Former Reference Dep: File 4036.","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2767730","309.615265"
"FO 371/9568","Foreign Office: Political Departments: General Correspondence from 1906-1966. American.","Mexico. Code 26 File 278","Mexico. Code 26 File 278.","01/01/1924","19240101","31/12/1924","19241231","1924","The National Archives, Kew","6","Former Reference Dep: File 278.","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10049 International;
        C10125 Americas","","C2767233","309.615265"
"FO 371/9381","Foreign Office: Political Departments: General Correspondence from 1906-1966. Western.","Belgium. Code 4 File 69","Belgium. Code 4 File 69.","01/01/1923","19230101","31/12/1923","19231231","1923","The National Archives, Kew","6","Former Reference Dep: File 69.","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2767046","309.615265"
"FO 371/8247","Foreign Office: Political Departments: General Correspondence from 1906-1966. Western.","France. Code 17 File 4","France. Code 17 File 4.","01/01/1922","19220101","31/12/1922","19221231","1922","The National Archives, Kew","6","Former Reference Dep: File 4.","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2765912","309.615265"
"FO 371/5101","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Turkey. Code 44 File 47","Turkey. Code 44 File 47.","01/01/1920","19200101","31/12/1920","19201231","1920","The National Archives, Kew","6","Former Reference Dep: File 47.","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2762766","309.615265"
"FO 371/10032","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Egypt. Code 16 File 193","Egypt. Code 16 File 193.","01/01/1924","19240101","31/12/1924","19241231","1924","The National Archives, Kew","6","Former Reference Dep: File 193.","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2767697","309.615265"
"FO 371/10902","Foreign Office: Political Departments: General Correspondence from 1906-1966. Egyptian.","Egypt. Code 16 File 174","Egypt. Code 16 File 174.","01/01/1925","19250101","31/12/1925","19251231","1925","The National Archives, Kew","6","Former Reference Dep: File 174.","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2768567","309.615265"
"FO 371/10594","Foreign Office: Political Departments: General Correspondence from 1906-1966. Western.","Spain. Code 41 File 175","Spain. Code 41 File 175.","01/01/1924","19240101","31/12/1924","19241231","1924","The National Archives, Kew","6","Former Reference Dep: File 175.","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2768259","309.615265"
